2024-10-12 11:26:40,801 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-10-12 11:26:40,900 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-10-12 11:27:12,566 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-10-12 11:27:12,665 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-10-12 11:28:14,418 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:14,633 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:14,914 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:15,379 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:15,490 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:15,733 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:15,851 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:16,089 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:16,668 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:17,036 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:17,159 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:17,276 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:17,498 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:17,614 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:18,176 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:18,517 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:19,186 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:19,791 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:20,309 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:20,422 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:20,739 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:20,848 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:21,075 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:21,220 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:21,351 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:21,468 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:22,179 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:22,501 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:22,745 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:23,150 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:23,369 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:23,488 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:23,721 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:24,078 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:24,213 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:24,334 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:24,554 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:25,099 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:25,214 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:26,832 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:27,067 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:27,501 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:29,291 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:29,955 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:30,622 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:31,013 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:31,240 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:31,708 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:32,034 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:32,273 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:32,485 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:33,163 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:33,307 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:33,531 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:33,655 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:34,328 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:34,839 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:35,549 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:36,000 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:36,208 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:36,815 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:36,991 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:37,685 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:38,328 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:38,959 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:39,712 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:39,825 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:39,971 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:40,308 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:40,725 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:40,938 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:41,050 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:41,398 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:41,511 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
